date,confirmed,deaths,state
2020-03-08,3,0,Tennessee
2020-03-09,4,0,Tennessee
2020-03-10,7,0,Tennessee
2020-03-11,9,0,Tennessee
2020-03-12,18,0,Tennessee
2020-03-13,26,0,Tennessee
2020-03-14,32,0,Tennessee
2020-03-15,39,0,Tennessee
2020-03-16,52,0,Tennessee
2020-03-17,73,0,Tennessee
2020-03-18,98,0,Tennessee
2020-03-19,154,0,Tennessee
2020-03-20,228,0,Tennessee
2020-03-21,371,0,Tennessee
2020-03-22,505,0,Tennessee
2020-03-23,615,0,Tennessee
2020-03-24,667,2,Tennessee
2020-03-25,784,3,Tennessee
2020-03-26,957,3,Tennessee
2020-03-27,"1,203",6,Tennessee
2020-03-28,"1,373",6,Tennessee
2020-03-29,"1,537",7,Tennessee
2020-03-30,"1,834",13,Tennessee
2020-03-31,"2,239",21,Tennessee
2020-04-01,"2,683",24,Tennessee
2020-04-02,"2,845",32,Tennessee
2020-04-03,"3,067",37,Tennessee
2020-04-04,"3,321",43,Tennessee
2020-04-05,"3,633",44,Tennessee
2020-04-06,"3,802",65,Tennessee
2020-04-07,"4,138",72,Tennessee
2020-04-08,"4,362",79,Tennessee
2020-04-09,"4,634",94,Tennessee
2020-04-10,"4,862",98,Tennessee
2020-04-11,"5,114",101,Tennessee
2020-04-12,"5,308",101,Tennessee
2020-04-13,"5,610",109,Tennessee
2020-04-14,"5,823",124,Tennessee
2020-04-15,"6,079",135,Tennessee
2020-04-16,"6,262",141,Tennessee
2020-04-17,"6,589",142,Tennessee
2020-04-18,"6,762",145,Tennessee
2020-04-19,"7,070",148,Tennessee
2020-04-20,"7,238",152,Tennessee
2020-04-21,"7,394",157,Tennessee
2020-04-22,"7,842",166,Tennessee
2020-04-23,"8,266",170,Tennessee
2020-04-24,"8,726",168,Tennessee
2020-04-25,"9,189",178,Tennessee
2020-04-26,"9,667",181,Tennessee
2020-04-27,"9,918",184,Tennessee
2020-04-28,"10,052",188,Tennessee
2020-04-29,"10,366",195,Tennessee
2020-04-30,"10,735",199,Tennessee
2020-05-01,"11,891",204,Tennessee
2020-05-02,"12,661",209,Tennessee
2020-05-03,"13,177",210,Tennessee
2020-05-04,"13,571",219,Tennessee
2020-05-05,"13,690",226,Tennessee
2020-05-06,"13,938",239,Tennessee
2020-05-07,"14,096",237,Tennessee
2020-05-08,"14,441",241,Tennessee
2020-05-09,"14,768",242,Tennessee
2020-05-10,"14,985",243,Tennessee
2020-05-11,"15,544",251,Tennessee
2020-05-12,"16,110",264,Tennessee
2020-05-13,"16,370",273,Tennessee
2020-05-14,"16,669",287,Tennessee
2020-05-15,"16,970",290,Tennessee
2020-05-16,"17,288",295,Tennessee
2020-05-17,"17,388",298,Tennessee
2020-05-18,"18,011",301,Tennessee
2020-05-19,"18,378",305,Tennessee
2020-05-20,"18,532",309,Tennessee
2020-05-21,"18,961",313,Tennessee
2020-05-22,"19,394",315,Tennessee
2020-05-23,"19,789",329,Tennessee
2020-05-24,"20,145",336,Tennessee
2020-05-25,"20,607",338,Tennessee
2020-05-26,"20,965",343,Tennessee
2020-05-27,"21,306",353,Tennessee
2020-05-28,"21,679",356,Tennessee
2020-05-29,"22,085",360,Tennessee
2020-05-30,"22,566",364,Tennessee
2020-05-31,"23,006",364,Tennessee
2020-06-01,"23,554",367,Tennessee
2020-06-02,"24,375",381,Tennessee
2020-06-03,"24,822",388,Tennessee
2020-06-04,"25,120",401,Tennessee
2020-06-05,"25,520",408,Tennessee
2020-06-06,"26,071",417,Tennessee
2020-06-07,"26,381",418,Tennessee
2020-06-08,"26,944",421,Tennessee
2020-06-09,"27,575",435,Tennessee
2020-06-10,"27,869",436,Tennessee
2020-06-11,"28,340",441,Tennessee
2020-06-12,"29,126",468,Tennessee
2020-06-13,"29,541",472,Tennessee
2020-06-14,"30,432",475,Tennessee
2020-06-15,"31,160",483,Tennessee
2020-06-16,"31,830",493,Tennessee
2020-06-17,"32,143",497,Tennessee
2020-06-18,"32,829",509,Tennessee
2020-06-19,"34,017",515,Tennessee
2020-06-20,"34,446",524,Tennessee
2020-06-21,"35,102",526,Tennessee
2020-06-22,"35,553",531,Tennessee
2020-06-23,"36,303",542,Tennessee
2020-06-24,"37,235",556,Tennessee
2020-06-25,"38,034",567,Tennessee
2020-06-26,"39,444",577,Tennessee
2020-06-27,"40,172",584,Tennessee
2020-06-28,"42,297",592,Tennessee
2020-06-29,"42,297",592,Tennessee
2020-06-30,"43,509",604,Tennessee
2020-07-01,"45,315",609,Tennessee
2020-07-02,"46,890",620,Tennessee
2020-07-03,"48,712",633,Tennessee
2020-07-04,"50,140",637,Tennessee
2020-07-05,"51,431",646,Tennessee
2020-07-06,"52,155",653,Tennessee
2020-07-07,"53,514",665,Tennessee
2020-07-08,"55,986",685,Tennessee
2020-07-09,"55,986",685,Tennessee
2020-07-10,"57,591",710,Tennessee
2020-07-11,"59,546",723,Tennessee
2020-07-12,"61,006",738,Tennessee
2020-07-13,"65,274",749,Tennessee
2020-07-14,"66,788",767,Tennessee
2020-07-15,"69,061",783,Tennessee
2020-07-16,"71,540",796,Tennessee
2020-07-17,"73,819",815,Tennessee
2020-07-18,"76,336",838,Tennessee
2020-07-19,"78,115",843,Tennessee
2020-07-20,"79,754",847,Tennessee
2020-07-21,"81,994",871,Tennessee
2020-07-22,"84,417",888,Tennessee
2020-07-23,"86,987",925,Tennessee
2020-07-24,"89,078",938,Tennessee
2020-07-25,"90,796",964,Tennessee
2020-07-26,"93,936",967,Tennessee
2020-07-27,"96,489",978,Tennessee
2020-07-28,"99,044",999,Tennessee
2020-07-29,"100,822","1,020",Tennessee
2020-07-30,"102,871","1,033",Tennessee
2020-07-31,"105,959","1,060",Tennessee
2020-08-01,"108,184","1,067",Tennessee
2020-08-02,"109,627","1,073",Tennessee
2020-08-03,"110,636","1,092",Tennessee
2020-08-04,"112,441","1,117",Tennessee
2020-08-05,"114,098","1,144",Tennessee
2020-08-06,"116,350","1,186",Tennessee
2020-08-07,"118,782","1,206",Tennessee
2020-08-08,"120,585","1,215",Tennessee
2020-08-09,"122,712","1,223",Tennessee
2020-08-10,"123,914","1,233",Tennessee
2020-08-11,"124,915","1,271",Tennessee
2020-08-12,"126,393","1,289",Tennessee
2020-08-13,"128,511","1,313",Tennessee
2020-08-14,"130,458","1,326",Tennessee
2020-08-15,"131,747","1,345",Tennessee
2020-08-16,"133,708","1,366",Tennessee
2020-08-17,"134,744","1,387",Tennessee
2020-08-18,"135,778","1,426",Tennessee
2020-08-19,"137,800","1,452",Tennessee
2020-08-20,"139,175","1,488",Tennessee
2020-08-21,"140,844","1,549",Tennessee
2020-08-22,"142,083","1,563",Tennessee
2020-08-23,"143,937","1,567",Tennessee
2020-08-24,"144,604","1,588",Tennessee
2020-08-25,"145,417","1,628",Tennessee
2020-08-26,"147,353","1,648",Tennessee
2020-08-27,"149,179","1,673",Tennessee
2020-08-28,"150,815","1,701",Tennessee
2020-08-29,"152,280","1,725",Tennessee
2020-08-30,"153,115","1,747",Tennessee
2020-08-31,"154,933","1,754",Tennessee
2020-09-01,"156,329","1,781",Tennessee
2020-09-02,"157,831","1,797",Tennessee
2020-09-03,"159,546","1,815",Tennessee
2020-09-04,"160,597","1,837",Tennessee
2020-09-05,"162,362","1,862",Tennessee
2020-09-06,"164,126","1,865",Tennessee
2020-09-07,"165,109","1,869",Tennessee
2020-09-08,"165,754","1,896",Tennessee
2020-09-09,"166,587","1,931",Tennessee
2020-09-10,"168,237","1,988",Tennessee
2020-09-11,"169,859","2,025",Tennessee
2020-09-12,"170,891","2,064",Tennessee
2020-09-13,"171,824","2,078",Tennessee
2020-09-14,"174,274","2,097",Tennessee
2020-09-15,"175,231","2,127",Tennessee
2020-09-16,"177,087","2,151",Tennessee
2020-09-17,"178,140","2,164",Tennessee
2020-09-18,"180,497","2,196",Tennessee
2020-09-19,"181,439","2,216",Tennessee
2020-09-20,"183,514","2,218",Tennessee
2020-09-21,"184,409","2,233",Tennessee
2020-09-22,"185,148","2,261",Tennessee
2020-09-23,"186,709","2,275",Tennessee
2020-09-24,"187,544","2,310",Tennessee
2020-09-25,"189,454","2,352",Tennessee
2020-09-26,"190,891","2,374",Tennessee
2020-09-27,"192,995","2,377",Tennessee
2020-09-28,"193,732","2,389",Tennessee
2020-09-29,"194,611","2,420",Tennessee
